Scores_Aroma;Scores_Flavor;Scores_Aftertaste;Scores_Acidity;Scores_Body;Scores_Balance;Scores_Uniformity;Scores_Sweetness;Scores_Moisture;Scores_Total;Color
85;85;80;80;80;80;100;100;12;8692;Green
85;817;80;775;80;80;100;100;12;8642;Green
833;80;80;80;775;80;100;100;11;8608;Blue-Green
80;80;80;767;775;80;100;100;11;8542;Blue-Green
80;792;775;775;80;775;100;100;11;8492;Green
80;80;775;80;75;775;100;100;12;8492;Green
80;80;775;775;758;775;100;100;12;8458;Green
85;80;75;775;75;783;100;100;11;8458;Blue-Green
775;75;758;75;775;75;100;100;12;8317;Blue-Green
767;767;758;75;767;742;100;100;12;830;Bluish-Green
733;758;717;758;742;758;100;100;0;8242;Green
733;742;733;733;75;767;100;100;0;8175;Green
75;742;725;717;717;775;100;100;11;8142;Green
708;733;717;725;733;767;100;100;13;8075;Bluish-Green
842;85;833;85;825;825;100;100;11;8875;Bluish-Green
817;825;817;80;783;817;100;100;13;8717;Green
842;817;817;80;758;80;100;100;11;865;Bluish-Green
783;833;783;825;758;792;100;100;1;8617;Green
825;80;783;808;80;792;100;100;1;860;Blue-Green
783;80;80;817;783;80;100;100;12;8583;Green
80;80;783;833;783;783;100;100;1;8583;Bluish-Green
833;842;783;833;80;825;933;100;12;8575;Bluish-Green
783;808;775;808;792;775;100;100;0;8533;Green
80;792;792;808;783;775;100;100;0;8533;Green
775;783;767;80;808;783;100;100;11;8517;Green
783;80;775;775;783;783;100;100;11;8508;Green
775;783;775;808;80;775;100;100;0;850;Green
80;80;783;783;767;767;100;100;12;850;Green
775;792;783;775;775;80;100;100;11;8492;Green
808;783;775;783;792;80;100;933;0;8467;Green
775;792;783;80;758;775;100;100;11;8467;Bluish-Green
80;783;767;783;767;80;100;100;11;8467;Green
767;783;767;80;767;783;100;100;12;8467;Green
792;783;775;792;767;775;100;100;11;8467;Blue-Green
767;783;783;80;758;792;100;100;0;8458;Green
775;783;775;80;783;767;100;100;12;8458;Bluish-Green
742;767;775;775;808;783;100;100;11;8458;Green
792;783;767;80;767;775;100;100;11;845;Blue-Green
80;792;742;808;75;767;100;100;12;845;Green
767;80;767;80;75;783;100;100;11;845;Green
783;783;775;80;75;775;100;100;11;8442;Blue-Green
792;792;75;783;75;792;100;100;11;8442;Blue-Green
80;775;775;783;75;767;100;100;12;8433;Blue-Green
733;792;792;792;792;808;100;933;11;8425;Bluish-Green
783;783;775;767;783;758;100;100;12;8425;Green
783;792;767;775;75;775;100;100;1;8425;Bluish-Green
817;775;758;767;783;758;100;100;13;8425;Green
775;775;775;775;783;775;100;100;0;8417;Green
783;75;75;80;783;783;100;100;11;8417;Bluish-Green
783;775;75;783;783;775;100;100;11;8417;Green
783;775;783;783;742;808;933;100;11;8408;Green
767;775;767;775;767;775;100;100;11;8408;Green
767;783;75;775;792;767;100;100;0;840;Green
792;817;817;842;808;817;867;933;12;840;Green
767;775;767;775;783;767;100;100;0;840;Bluish-Green
792;775;758;767;767;783;100;100;1;840;Green
767;775;758;767;775;783;100;100;12;8392;Blue-Green
775;792;783;792;775;767;933;100;0;8392;Green
767;80;767;742;767;75;100;100;1;8383;Green
767;758;758;767;775;775;100;100;11;8375;Bluish-Green
775;775;758;783;717;775;100;100;11;8367;Green
817;817;783;767;808;775;933;933;11;8367;Green
767;817;75;742;758;783;100;100;11;8367;Green
767;75;75;733;783;825;100;100;12;8367;Green
817;767;758;758;742;767;100;100;12;8367;Green
767;75;733;80;767;767;100;100;1;8367;Green
767;767;758;767;775;758;100;100;11;8358;Green
767;758;758;758;767;775;100;100;11;8358;Green
783;775;75;775;75;758;100;100;12;8358;Blue-Green
783;758;725;75;75;742;100;100;13;835;Green
775;767;767;775;733;75;100;100;12;835;Green
783;75;75;80;767;75;100;100;1;835;Green
767;758;758;767;767;767;100;100;11;835;Green
75;75;775;75;80;767;100;100;0;835;Green
742;775;767;758;767;767;100;100;0;8342;Green
75;775;758;75;767;775;100;100;11;8342;Green
758;75;767;75;783;742;100;100;11;8333;Green
792;75;758;783;767;767;933;100;1;8333;Bluish-Green
75;767;767;758;767;758;100;100;0;8333;Green
758;775;783;80;808;767;933;933;11;8325;Bluish-Green
775;758;758;758;75;758;100;100;13;8325;Green
783;758;708;783;742;808;100;100;11;8325;Green
775;767;75;758;758;758;100;100;11;8325;Blue-Green
767;758;758;742;783;758;100;100;12;8325;Green
767;767;75;75;758;767;100;100;11;8325;Green
767;75;75;75;758;817;100;100;11;8317;Green
775;75;742;775;758;758;100;100;13;8317;Green
758;767;75;758;767;767;100;100;11;8317;Blue-Green
775;767;758;75;758;758;100;100;12;8317;Green
792;758;75;758;742;75;100;100;11;8317;Green
775;75;767;75;792;80;100;933;0;8317;Green
783;783;733;717;775;767;100;100;1;8308;Bluish-Green
733;758;758;792;767;758;100;100;12;8308;Green
75;75;742;758;775;758;100;100;11;830;Green
767;758;742;75;767;758;100;100;11;830;Green
767;783;75;758;758;767;933;100;11;830;Green
75;767;75;75;758;758;100;100;11;830;Green
775;758;75;767;783;775;933;100;0;830;Green
767;758;758;758;767;742;100;100;11;830;Green
75;767;75;767;75;783;100;100;1;830;Green
758;758;725;758;758;758;100;100;1;8292;Green
